feature,label,boundary
/media/data/yfarha/Datasets/50salads/data/groundTruth/rgb-.npy,/media/data/yfarha/Datasets/50salads/data/groundTruth/rgb-.npy,/media/data/yfarha/Datasets/50salads/data/groundTruth/rgb-.npy
/media/data/yfarha/Datasets/50salads/data/groundTruth/rgb-.npy,/media/data/yfarha/Datasets/50salads/data/groundTruth/rgb-.npy,/media/data/yfarha/Datasets/50salads/data/groundTruth/rgb-.npy
/media/data/yfarha/Datasets/50salads/data/groundTruth/rgb-.npy,/media/data/yfarha/Datasets/50salads/data/groundTruth/rgb-.npy,/media/data/yfarha/Datasets/50salads/data/groundTruth/rgb-.npy
/media/data/yfarha/Datasets/50salads/data/groundTruth/rgb-.npy,/media/data/yfarha/Datasets/50salads/data/groundTruth/rgb-.npy,/media/data/yfarha/Datasets/50salads/data/groundTruth/rgb-.npy
/media/data/yfarha/Datasets/50salads/data/groundTruth/rgb-.npy,/media/data/yfarha/Datasets/50salads/data/groundTruth/rgb-.npy,/media/data/yfarha/Datasets/50salads/data/groundTruth/rgb-.npy
/media/data/yfarha/Datasets/50salads/data/groundTruth/rgb-.npy,/media/data/yfarha/Datasets/50salads/data/groundTruth/rgb-.npy,/media/data/yfarha/Datasets/50salads/data/groundTruth/rgb-.npy
/media/data/yfarha/Datasets/50salads/data/groundTruth/rgb-.npy,/media/data/yfarha/Datasets/50salads/data/groundTruth/rgb-.npy,/media/data/yfarha/Datasets/50salads/data/groundTruth/rgb-.npy
/media/data/yfarha/Datasets/50salads/data/groundTruth/rgb-.npy,/media/data/yfarha/Datasets/50salads/data/groundTruth/rgb-.npy,/media/data/yfarha/Datasets/50salads/data/groundTruth/rgb-.npy
/media/data/yfarha/Datasets/50salads/data/groundTruth/rgb-.npy,/media/data/yfarha/Datasets/50salads/data/groundTruth/rgb-.npy,/media/data/yfarha/Datasets/50salads/data/groundTruth/rgb-.npy
/media/data/yfarha/Datasets/50salads/data/groundTruth/rgb-.npy,/media/data/yfarha/Datasets/50salads/data/groundTruth/rgb-.npy,/media/data/yfarha/Datasets/50salads/data/groundTruth/rgb-.npy
/media/data/yfarha/Datasets/50salads/data/groundTruth/rgb-.npy,/media/data/yfarha/Datasets/50salads/data/groundTruth/rgb-.npy,/media/data/yfarha/Datasets/50salads/data/groundTruth/rgb-.npy
/media/data/yfarha/Datasets/50salads/data/groundTruth/rgb-.npy,/media/data/yfarha/Datasets/50salads/data/groundTruth/rgb-.npy,/media/data/yfarha/Datasets/50salads/data/groundTruth/rgb-.npy
/media/data/yfarha/Datasets/50salads/data/groundTruth/rgb-.npy,/media/data/yfarha/Datasets/50salads/data/groundTruth/rgb-.npy,/media/data/yfarha/Datasets/50salads/data/groundTruth/rgb-.npy
/media/data/yfarha/Datasets/50salads/data/groundTruth/rgb-.npy,/media/data/yfarha/Datasets/50salads/data/groundTruth/rgb-.npy,/media/data/yfarha/Datasets/50salads/data/groundTruth/rgb-.npy
/media/data/yfarha/Datasets/50salads/data/groundTruth/rgb-.npy,/media/data/yfarha/Datasets/50salads/data/groundTruth/rgb-.npy,/media/data/yfarha/Datasets/50salads/data/groundTruth/rgb-.npy
/media/data/yfarha/Datasets/50salads/data/groundTruth/rgb-.npy,/media/data/yfarha/Datasets/50salads/data/groundTruth/rgb-.npy,/media/data/yfarha/Datasets/50salads/data/groundTruth/rgb-.npy
/media/data/yfarha/Datasets/50salads/data/groundTruth/rgb-.npy,/media/data/yfarha/Datasets/50salads/data/groundTruth/rgb-.npy,/media/data/yfarha/Datasets/50salads/data/groundTruth/rgb-.npy
/media/data/yfarha/Datasets/50salads/data/groundTruth/rgb-.npy,/media/data/yfarha/Datasets/50salads/data/groundTruth/rgb-.npy,/media/data/yfarha/Datasets/50salads/data/groundTruth/rgb-.npy
/media/data/yfarha/Datasets/50salads/data/groundTruth/rgb-.npy,/media/data/yfarha/Datasets/50salads/data/groundTruth/rgb-.npy,/media/data/yfarha/Datasets/50salads/data/groundTruth/rgb-.npy
/media/data/yfarha/Datasets/50salads/data/groundTruth/rgb-.npy,/media/data/yfarha/Datasets/50salads/data/groundTruth/rgb-.npy,/media/data/yfarha/Datasets/50salads/data/groundTruth/rgb-.npy
/media/data/yfarha/Datasets/50salads/data/groundTruth/rgb-.npy,/media/data/yfarha/Datasets/50salads/data/groundTruth/rgb-.npy,/media/data/yfarha/Datasets/50salads/data/groundTruth/rgb-.npy
/media/data/yfarha/Datasets/50salads/data/groundTruth/rgb-.npy,/media/data/yfarha/Datasets/50salads/data/groundTruth/rgb-.npy,/media/data/yfarha/Datasets/50salads/data/groundTruth/rgb-.npy
/media/data/yfarha/Datasets/50salads/data/groundTruth/rgb-.npy,/media/data/yfarha/Datasets/50salads/data/groundTruth/rgb-.npy,/media/data/yfarha/Datasets/50salads/data/groundTruth/rgb-.npy
